Namespace(batch_size=64, device='cuda', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=128, lstm_num_layers=2, max_epochs=5, max_norm=5.0, print_every=50, sample_every=1000, seq_length=30, summary_path='./summaries/', train_steps=20000, txt_file='./assets/book_EN_grimms_fairy_tails.txt')
Device: cuda
Txt file: ./assets/book_EN_grimms_fairy_tails.txt
Initialize dataset with 550595 characters, 91 unique.
[2020-11-27 15:42] EPOCH 0 Train Step 0049/20000, Batch Size = 64,                         Examples/Sec = 2435.27, Accuracy = 0.28, Loss = 2.650
[2020-11-27 15:42] EPOCH 0 Train Step 0099/20000, Batch Size = 64,                         Examples/Sec = 2308.39, Accuracy = 0.37, Loss = 2.245
[2020-11-27 15:42] EPOCH 0 Train Step 0149/20000, Batch Size = 64,                         Examples/Sec = 2331.48, Accuracy = 0.42, Loss = 2.045
[2020-11-27 15:42] EPOCH 0 Train Step 0199/20000, Batch Size = 64,                         Examples/Sec = 2435.72, Accuracy = 0.43, Loss = 1.945
[2020-11-27 15:42] EPOCH 0 Train Step 0249/20000, Batch Size = 64,                         Examples/Sec = 2236.87, Accuracy = 0.46, Loss = 1.875
[2020-11-27 15:42] EPOCH 0 Train Step 0299/20000, Batch Size = 64,                         Examples/Sec = 2255.00, Accuracy = 0.48, Loss = 1.782
[2020-11-27 15:42] EPOCH 0 Train Step 0349/20000, Batch Size = 64,                         Examples/Sec = 2417.27, Accuracy = 0.49, Loss = 1.706
[2020-11-27 15:42] EPOCH 0 Train Step 0399/20000, Batch Size = 64,                         Examples/Sec = 2227.72, Accuracy = 0.49, Loss = 1.716
[2020-11-27 15:42] EPOCH 0 Train Step 0449/20000, Batch Size = 64,                         Examples/Sec = 2232.85, Accuracy = 0.52, Loss = 1.588
[2020-11-27 15:42] EPOCH 0 Train Step 0499/20000, Batch Size = 64,                         Examples/Sec = 2252.09, Accuracy = 0.53, Loss = 1.599
[2020-11-27 15:42] EPOCH 0 Train Step 0549/20000, Batch Size = 64,                         Examples/Sec = 2432.47, Accuracy = 0.54, Loss = 1.548
[2020-11-27 15:42] EPOCH 0 Train Step 0599/20000, Batch Size = 64,                         Examples/Sec = 2298.60, Accuracy = 0.54, Loss = 1.601
[2020-11-27 15:42] EPOCH 0 Train Step 0649/20000, Batch Size = 64,                         Examples/Sec = 2237.32, Accuracy = 0.58, Loss = 1.465
[2020-11-27 15:42] EPOCH 0 Train Step 0699/20000, Batch Size = 64,                         Examples/Sec = 2218.16, Accuracy = 0.55, Loss = 1.462
[2020-11-27 15:42] EPOCH 0 Train Step 0749/20000, Batch Size = 64,                         Examples/Sec = 2313.06, Accuracy = 0.55, Loss = 1.498
[2020-11-27 15:42] EPOCH 0 Train Step 0799/20000, Batch Size = 64,                         Examples/Sec = 2223.10, Accuracy = 0.55, Loss = 1.529
[2020-11-27 15:42] EPOCH 0 Train Step 0849/20000, Batch Size = 64,                         Examples/Sec = 2257.20, Accuracy = 0.55, Loss = 1.491
[2020-11-27 15:42] EPOCH 0 Train Step 0899/20000, Batch Size = 64,                         Examples/Sec = 2290.44, Accuracy = 0.56, Loss = 1.459
[2020-11-27 15:42] EPOCH 0 Train Step 0949/20000, Batch Size = 64,                         Examples/Sec = 2328.05, Accuracy = 0.55, Loss = 1.438
[2020-11-27 15:42] EPOCH 0 Train Step 0999/20000, Batch Size = 64,                         Examples/Sec = 2463.19, Accuracy = 0.57, Loss = 1.453
[2020-11-27 15:42] EPOCH 0 Train Step 1049/20000, Batch Size = 64,                         Examples/Sec = 2407.67, Accuracy = 0.57, Loss = 1.408
[2020-11-27 15:42] EPOCH 0 Train Step 1099/20000, Batch Size = 64,                         Examples/Sec = 2324.86, Accuracy = 0.57, Loss = 1.395
[2020-11-27 15:42] EPOCH 0 Train Step 1149/20000, Batch Size = 64,                         Examples/Sec = 2292.09, Accuracy = 0.57, Loss = 1.419
[2020-11-27 15:42] EPOCH 0 Train Step 1199/20000, Batch Size = 64,                         Examples/Sec = 2517.54, Accuracy = 0.58, Loss = 1.371
[2020-11-27 15:42] EPOCH 0 Train Step 1249/20000, Batch Size = 64,                         Examples/Sec = 2249.15, Accuracy = 0.58, Loss = 1.337
[2020-11-27 15:42] EPOCH 0 Train Step 1299/20000, Batch Size = 64,                         Examples/Sec = 2239.26, Accuracy = 0.58, Loss = 1.355
[2020-11-27 15:42] EPOCH 0 Train Step 1349/20000, Batch Size = 64,                         Examples/Sec = 2381.29, Accuracy = 0.59, Loss = 1.324
