Namespace(batch_size=64, device='cuda', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, load_model=None, lstm_num_hidden=512, lstm_num_layers=2, max_epochs=5, max_norm=5.0, plot=False, print_every=100, sample_every=1000, seq_length=30, summary_path='./summaries/', train=True, train_steps=100000, txt_file='./assets/book_EN_democracy_in_the_US.txt')
Device: cuda
Txt file: ./assets/book_EN_democracy_in_the_US.txt
Initialize dataset with 1148437 characters, 86 unique.
[2020-11-28 13:02] EPOCH 0 Train Step 0099/100000, Batch Size = 64,                         Examples/Sec = 5989.99, Accuracy = 0.35, Loss = 2.368
[2020-11-28 13:02] EPOCH 0 Train Step 0199/100000, Batch Size = 64,                         Examples/Sec = 5493.07, Accuracy = 0.41, Loss = 2.030
[2020-11-28 13:02] EPOCH 0 Train Step 0299/100000, Batch Size = 64,                         Examples/Sec = 5691.05, Accuracy = 0.47, Loss = 1.877
[2020-11-28 13:02] EPOCH 0 Train Step 0399/100000, Batch Size = 64,                         Examples/Sec = 6081.46, Accuracy = 0.52, Loss = 1.659
[2020-11-28 13:02] EPOCH 0 Train Step 0499/100000, Batch Size = 64,                         Examples/Sec = 5713.46, Accuracy = 0.53, Loss = 1.607
[2020-11-28 13:02] EPOCH 0 Train Step 0599/100000, Batch Size = 64,                         Examples/Sec = 6164.55, Accuracy = 0.54, Loss = 1.612
[2020-11-28 13:02] EPOCH 0 Train Step 0699/100000, Batch Size = 64,                         Examples/Sec = 5703.75, Accuracy = 0.52, Loss = 1.671
[2020-11-28 13:02] EPOCH 0 Train Step 0799/100000, Batch Size = 64,                         Examples/Sec = 5608.06, Accuracy = 0.56, Loss = 1.488
[2020-11-28 13:02] EPOCH 0 Train Step 0899/100000, Batch Size = 64,                         Examples/Sec = 5576.03, Accuracy = 0.57, Loss = 1.426
[2020-11-28 13:02] EPOCH 0 Train Step 0999/100000, Batch Size = 64,                         Examples/Sec = 5234.70, Accuracy = 0.59, Loss = 1.371
[2020-11-28 13:02] EPOCH 0 Train Step 1099/100000, Batch Size = 64,                         Examples/Sec = 5326.42, Accuracy = 0.60, Loss = 1.343
[2020-11-28 13:02] EPOCH 0 Train Step 1199/100000, Batch Size = 64,                         Examples/Sec = 5679.49, Accuracy = 0.56, Loss = 1.476
[2020-11-28 13:02] EPOCH 0 Train Step 1299/100000, Batch Size = 64,                         Examples/Sec = 5645.21, Accuracy = 0.58, Loss = 1.375
[2020-11-28 13:02] EPOCH 0 Train Step 1399/100000, Batch Size = 64,                         Examples/Sec = 6190.71, Accuracy = 0.60, Loss = 1.347
[2020-11-28 13:02] EPOCH 0 Train Step 1499/100000, Batch Size = 64,                         Examples/Sec = 5440.97, Accuracy = 0.59, Loss = 1.380
[2020-11-28 13:02] EPOCH 0 Train Step 1599/100000, Batch Size = 64,                         Examples/Sec = 5980.12, Accuracy = 0.59, Loss = 1.364
[2020-11-28 13:02] EPOCH 0 Train Step 1699/100000, Batch Size = 64,                         Examples/Sec = 5744.76, Accuracy = 0.62, Loss = 1.264
[2020-11-28 13:02] EPOCH 0 Train Step 1799/100000, Batch Size = 64,                         Examples/Sec = 5226.24, Accuracy = 0.60, Loss = 1.361
[2020-11-28 13:02] EPOCH 0 Train Step 1899/100000, Batch Size = 64,                         Examples/Sec = 5193.48, Accuracy = 0.61, Loss = 1.283
[2020-11-28 13:02] EPOCH 0 Train Step 1999/100000, Batch Size = 64,                         Examples/Sec = 5393.95, Accuracy = 0.63, Loss = 1.194
[2020-11-28 13:02] EPOCH 0 Train Step 2099/100000, Batch Size = 64,                         Examples/Sec = 6220.12, Accuracy = 0.59, Loss = 1.334
[2020-11-28 13:02] EPOCH 0 Train Step 2199/100000, Batch Size = 64,                         Examples/Sec = 5738.50, Accuracy = 0.63, Loss = 1.238
[2020-11-28 13:02] EPOCH 0 Train Step 2299/100000, Batch Size = 64,                         Examples/Sec = 5715.28, Accuracy = 0.59, Loss = 1.334
