Namespace(batch_size=64, device='cuda', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=128, lstm_num_layers=2, max_epochs=5, max_norm=5.0, print_every=100, sample_every=10000, seq_length=30, summary_path='./summaries/', train_steps=1000000, txt_file='./assets/book_EN_grimms_fairy_tails.txt')
Device: cuda
Txt file: ./assets/book_EN_grimms_fairy_tails.txt
Initialize dataset with 550595 characters, 91 unique.
[2020-11-27 16:16] EPOCH 0 Train Step 0099/1000000, Batch Size = 64,                         Examples/Sec = 2398.84, Accuracy = 0.37, Loss = 2.280
[2020-11-27 16:16] EPOCH 0 Train Step 0199/1000000, Batch Size = 64,                         Examples/Sec = 2263.29, Accuracy = 0.45, Loss = 1.886
[2020-11-27 16:16] EPOCH 0 Train Step 0299/1000000, Batch Size = 64,                         Examples/Sec = 2540.10, Accuracy = 0.49, Loss = 1.706
[2020-11-27 16:16] EPOCH 0 Train Step 0399/1000000, Batch Size = 64,                         Examples/Sec = 2222.46, Accuracy = 0.51, Loss = 1.675
[2020-11-27 16:16] EPOCH 0 Train Step 0499/1000000, Batch Size = 64,                         Examples/Sec = 2404.93, Accuracy = 0.55, Loss = 1.532
[2020-11-27 16:16] EPOCH 0 Train Step 0599/1000000, Batch Size = 64,                         Examples/Sec = 2246.45, Accuracy = 0.52, Loss = 1.622
[2020-11-27 16:16] EPOCH 0 Train Step 0699/1000000, Batch Size = 64,                         Examples/Sec = 2234.54, Accuracy = 0.55, Loss = 1.518
[2020-11-27 16:16] EPOCH 0 Train Step 0799/1000000, Batch Size = 64,                         Examples/Sec = 2208.64, Accuracy = 0.56, Loss = 1.468
[2020-11-27 16:16] EPOCH 0 Train Step 0899/1000000, Batch Size = 64,                         Examples/Sec = 2534.49, Accuracy = 0.57, Loss = 1.382
[2020-11-27 16:16] EPOCH 0 Train Step 0999/1000000, Batch Size = 64,                         Examples/Sec = 2548.01, Accuracy = 0.57, Loss = 1.389
[2020-11-27 16:16] EPOCH 0 Train Step 1099/1000000, Batch Size = 64,                         Examples/Sec = 2280.00, Accuracy = 0.59, Loss = 1.341
[2020-11-27 16:16] EPOCH 0 Train Step 1199/1000000, Batch Size = 64,                         Examples/Sec = 2160.10, Accuracy = 0.57, Loss = 1.410
[2020-11-27 16:16] EPOCH 0 Train Step 1299/1000000, Batch Size = 64,                         Examples/Sec = 2277.02, Accuracy = 0.59, Loss = 1.329
[2020-11-27 16:17] EPOCH 0 Train Step 1399/1000000, Batch Size = 64,                         Examples/Sec = 2294.40, Accuracy = 0.59, Loss = 1.352
[2020-11-27 16:17] EPOCH 0 Train Step 1499/1000000, Batch Size = 64,                         Examples/Sec = 2222.39, Accuracy = 0.59, Loss = 1.350
[2020-11-27 16:17] EPOCH 0 Train Step 1599/1000000, Batch Size = 64,                         Examples/Sec = 2217.10, Accuracy = 0.60, Loss = 1.326
[2020-11-27 16:17] EPOCH 0 Train Step 1699/1000000, Batch Size = 64,                         Examples/Sec = 2440.48, Accuracy = 0.59, Loss = 1.296
[2020-11-27 16:17] EPOCH 0 Train Step 1799/1000000, Batch Size = 64,                         Examples/Sec = 2477.44, Accuracy = 0.59, Loss = 1.341
[2020-11-27 16:17] EPOCH 0 Train Step 1899/1000000, Batch Size = 64,                         Examples/Sec = 2213.33, Accuracy = 0.62, Loss = 1.225
[2020-11-27 16:17] EPOCH 0 Train Step 1999/1000000, Batch Size = 64,                         Examples/Sec = 2385.35, Accuracy = 0.58, Loss = 1.386
[2020-11-27 16:17] EPOCH 0 Train Step 2099/1000000, Batch Size = 64,                         Examples/Sec = 2379.60, Accuracy = 0.60, Loss = 1.296
[2020-11-27 16:17] EPOCH 0 Train Step 2199/1000000, Batch Size = 64,                         Examples/Sec = 2352.61, Accuracy = 0.62, Loss = 1.257
[2020-11-27 16:17] EPOCH 0 Train Step 2299/1000000, Batch Size = 64,                         Examples/Sec = 2324.24, Accuracy = 0.62, Loss = 1.250
[2020-11-27 16:17] EPOCH 0 Train Step 2399/1000000, Batch Size = 64,                         Examples/Sec = 2546.05, Accuracy = 0.59, Loss = 1.309
[2020-11-27 16:17] EPOCH 0 Train Step 2499/1000000, Batch Size = 64,                         Examples/Sec = 2294.34, Accuracy = 0.62, Loss = 1.237
[2020-11-27 16:17] EPOCH 0 Train Step 2599/1000000, Batch Size = 64,                         Examples/Sec = 2379.77, Accuracy = 0.60, Loss = 1.294
[2020-11-27 16:17] EPOCH 0 Train Step 2699/1000000, Batch Size = 64,                         Examples/Sec = 2284.93, Accuracy = 0.62, Loss = 1.202
[2020-11-27 16:17] EPOCH 0 Train Step 2799/1000000, Batch Size = 64,                         Examples/Sec = 2295.91, Accuracy = 0.60, Loss = 1.254
