Namespace(batch_size=64, device='cuda', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=256, lstm_num_layers=2, max_epochs=5, max_norm=5.0, print_every=50, sample_every=1000, seq_length=30, summary_path='./summaries/', train_steps=20000, txt_file='./assets/book_EN_grimms_fairy_tails.txt')
Device: cuda
Txt file: ./assets/book_EN_grimms_fairy_tails.txt
Initialize dataset with 550595 characters, 91 unique.
[2020-11-27 15:56] EPOCH 0 Train Step 0049/20000, Batch Size = 64,                         Examples/Sec = 2110.26, Accuracy = 0.29, Loss = 2.681
[2020-11-27 15:56] EPOCH 0 Train Step 0099/20000, Batch Size = 64,                         Examples/Sec = 2200.15, Accuracy = 0.36, Loss = 2.316
[2020-11-27 15:56] EPOCH 0 Train Step 0149/20000, Batch Size = 64,                         Examples/Sec = 2053.47, Accuracy = 0.41, Loss = 2.041
[2020-11-27 15:56] EPOCH 0 Train Step 0199/20000, Batch Size = 64,                         Examples/Sec = 2661.04, Accuracy = 0.43, Loss = 1.954
[2020-11-27 15:56] EPOCH 0 Train Step 0249/20000, Batch Size = 64,                         Examples/Sec = 2123.68, Accuracy = 0.47, Loss = 1.845
[2020-11-27 15:56] EPOCH 0 Train Step 0299/20000, Batch Size = 64,                         Examples/Sec = 2252.90, Accuracy = 0.49, Loss = 1.756
[2020-11-27 15:56] EPOCH 0 Train Step 0349/20000, Batch Size = 64,                         Examples/Sec = 2191.65, Accuracy = 0.49, Loss = 1.759
[2020-11-27 15:56] EPOCH 0 Train Step 0399/20000, Batch Size = 64,                         Examples/Sec = 2189.40, Accuracy = 0.50, Loss = 1.736
[2020-11-27 15:56] EPOCH 0 Train Step 0449/20000, Batch Size = 64,                         Examples/Sec = 2133.66, Accuracy = 0.49, Loss = 1.696
[2020-11-27 15:56] EPOCH 0 Train Step 0499/20000, Batch Size = 64,                         Examples/Sec = 2175.27, Accuracy = 0.50, Loss = 1.672
[2020-11-27 15:56] EPOCH 0 Train Step 0549/20000, Batch Size = 64,                         Examples/Sec = 2225.83, Accuracy = 0.54, Loss = 1.556
[2020-11-27 15:56] EPOCH 0 Train Step 0599/20000, Batch Size = 64,                         Examples/Sec = 2089.50, Accuracy = 0.53, Loss = 1.553
[2020-11-27 15:56] EPOCH 0 Train Step 0649/20000, Batch Size = 64,                         Examples/Sec = 2155.87, Accuracy = 0.55, Loss = 1.563
[2020-11-27 15:56] EPOCH 0 Train Step 0699/20000, Batch Size = 64,                         Examples/Sec = 2253.62, Accuracy = 0.52, Loss = 1.594
[2020-11-27 15:56] EPOCH 0 Train Step 0749/20000, Batch Size = 64,                         Examples/Sec = 2185.83, Accuracy = 0.54, Loss = 1.558
[2020-11-27 15:56] EPOCH 0 Train Step 0799/20000, Batch Size = 64,                         Examples/Sec = 2149.82, Accuracy = 0.55, Loss = 1.551
[2020-11-27 15:56] EPOCH 0 Train Step 0849/20000, Batch Size = 64,                         Examples/Sec = 2081.93, Accuracy = 0.58, Loss = 1.412
[2020-11-27 15:56] EPOCH 0 Train Step 0899/20000, Batch Size = 64,                         Examples/Sec = 1921.89, Accuracy = 0.55, Loss = 1.469
[2020-11-27 15:56] EPOCH 0 Train Step 0949/20000, Batch Size = 64,                         Examples/Sec = 1961.39, Accuracy = 0.55, Loss = 1.502
[2020-11-27 15:56] EPOCH 0 Train Step 0999/20000, Batch Size = 64,                         Examples/Sec = 2099.25, Accuracy = 0.55, Loss = 1.513
[2020-11-27 15:56] EPOCH 0 Train Step 1049/20000, Batch Size = 64,                         Examples/Sec = 2118.57, Accuracy = 0.56, Loss = 1.472
[2020-11-27 15:56] EPOCH 0 Train Step 1099/20000, Batch Size = 64,                         Examples/Sec = 2314.40, Accuracy = 0.56, Loss = 1.438
[2020-11-27 15:56] EPOCH 0 Train Step 1149/20000, Batch Size = 64,                         Examples/Sec = 2156.97, Accuracy = 0.55, Loss = 1.490
[2020-11-27 15:56] EPOCH 0 Train Step 1199/20000, Batch Size = 64,                         Examples/Sec = 2521.02, Accuracy = 0.55, Loss = 1.438
[2020-11-27 15:56] EPOCH 0 Train Step 1249/20000, Batch Size = 64,                         Examples/Sec = 2329.78, Accuracy = 0.58, Loss = 1.390
[2020-11-27 15:56] EPOCH 0 Train Step 1299/20000, Batch Size = 64,                         Examples/Sec = 2507.15, Accuracy = 0.59, Loss = 1.349
[2020-11-27 15:56] EPOCH 0 Train Step 1349/20000, Batch Size = 64,                         Examples/Sec = 2180.15, Accuracy = 0.57, Loss = 1.436
[2020-11-27 15:56] EPOCH 0 Train Step 1399/20000, Batch Size = 64,                         Examples/Sec = 2253.66, Accuracy = 0.59, Loss = 1.348
[2020-11-27 15:56] EPOCH 0 Train Step 1449/20000, Batch Size = 64,                         Examples/Sec = 2158.14, Accuracy = 0.59, Loss = 1.378
[2020-11-27 15:56] EPOCH 0 Train Step 1499/20000, Batch Size = 64,                         Examples/Sec = 2176.02, Accuracy = 0.58, Loss = 1.381
[2020-11-27 15:56] EPOCH 0 Train Step 1549/20000, Batch Size = 64,                         Examples/Sec = 2303.73, Accuracy = 0.60, Loss = 1.292
