Namespace(batch_size=64, device='cuda', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=512, lstm_num_layers=2, max_epochs=5, max_norm=5.0, print_every=100, sample_every=5000, seq_length=30, summary_path='./summaries/', train_steps=40000, txt_file='./assets/book_EN_grimms_fairy_tails.txt')
Device: cuda
Txt file: ./assets/book_EN_grimms_fairy_tails.txt
Initialize dataset with 550595 characters, 91 unique.
[2020-11-27 17:30] EPOCH 0 Train Step 0099/40000, Batch Size = 64,                         Examples/Sec = 5405.79, Accuracy = 0.37, Loss = 2.218
[2020-11-27 17:30] EPOCH 0 Train Step 0199/40000, Batch Size = 64,                         Examples/Sec = 6964.57, Accuracy = 0.47, Loss = 1.840
[2020-11-27 17:30] EPOCH 0 Train Step 0299/40000, Batch Size = 64,                         Examples/Sec = 5834.79, Accuracy = 0.49, Loss = 1.737
[2020-11-27 17:30] EPOCH 0 Train Step 0399/40000, Batch Size = 64,                         Examples/Sec = 6184.29, Accuracy = 0.52, Loss = 1.603
[2020-11-27 17:30] EPOCH 0 Train Step 0499/40000, Batch Size = 64,                         Examples/Sec = 5837.71, Accuracy = 0.52, Loss = 1.644
[2020-11-27 17:30] EPOCH 0 Train Step 0599/40000, Batch Size = 64,                         Examples/Sec = 6121.12, Accuracy = 0.55, Loss = 1.515
[2020-11-27 17:30] EPOCH 0 Train Step 0699/40000, Batch Size = 64,                         Examples/Sec = 5747.22, Accuracy = 0.56, Loss = 1.436
[2020-11-27 17:30] EPOCH 0 Train Step 0799/40000, Batch Size = 64,                         Examples/Sec = 6104.14, Accuracy = 0.53, Loss = 1.517
[2020-11-27 17:30] EPOCH 0 Train Step 0899/40000, Batch Size = 64,                         Examples/Sec = 5622.63, Accuracy = 0.54, Loss = 1.481
[2020-11-27 17:30] EPOCH 0 Train Step 0999/40000, Batch Size = 64,                         Examples/Sec = 5886.87, Accuracy = 0.56, Loss = 1.393
[2020-11-27 17:30] EPOCH 0 Train Step 1099/40000, Batch Size = 64,                         Examples/Sec = 3730.45, Accuracy = 0.55, Loss = 1.405
[2020-11-27 17:30] EPOCH 0 Train Step 1199/40000, Batch Size = 64,                         Examples/Sec = 5792.99, Accuracy = 0.58, Loss = 1.378
[2020-11-27 17:30] EPOCH 0 Train Step 1299/40000, Batch Size = 64,                         Examples/Sec = 5748.70, Accuracy = 0.60, Loss = 1.331
[2020-11-27 17:30] EPOCH 0 Train Step 1399/40000, Batch Size = 64,                         Examples/Sec = 5506.82, Accuracy = 0.58, Loss = 1.369
[2020-11-27 17:30] EPOCH 0 Train Step 1499/40000, Batch Size = 64,                         Examples/Sec = 5756.22, Accuracy = 0.59, Loss = 1.318
[2020-11-27 17:30] EPOCH 0 Train Step 1599/40000, Batch Size = 64,                         Examples/Sec = 5498.36, Accuracy = 0.61, Loss = 1.314
[2020-11-27 17:30] EPOCH 0 Train Step 1699/40000, Batch Size = 64,                         Examples/Sec = 5838.73, Accuracy = 0.58, Loss = 1.358
[2020-11-27 17:30] EPOCH 0 Train Step 1799/40000, Batch Size = 64,                         Examples/Sec = 5563.31, Accuracy = 0.60, Loss = 1.307
[2020-11-27 17:30] EPOCH 0 Train Step 1899/40000, Batch Size = 64,                         Examples/Sec = 6078.15, Accuracy = 0.59, Loss = 1.335
[2020-11-27 17:30] EPOCH 0 Train Step 1999/40000, Batch Size = 64,                         Examples/Sec = 5531.67, Accuracy = 0.62, Loss = 1.226
[2020-11-27 17:30] EPOCH 0 Train Step 2099/40000, Batch Size = 64,                         Examples/Sec = 5807.65, Accuracy = 0.61, Loss = 1.248
[2020-11-27 17:30] EPOCH 0 Train Step 2199/40000, Batch Size = 64,                         Examples/Sec = 6212.06, Accuracy = 0.61, Loss = 1.254
[2020-11-27 17:30] EPOCH 0 Train Step 2299/40000, Batch Size = 64,                         Examples/Sec = 6007.69, Accuracy = 0.59, Loss = 1.313
[2020-11-27 17:30] EPOCH 0 Train Step 2399/40000, Batch Size = 64,                         Examples/Sec = 5801.38, Accuracy = 0.60, Loss = 1.262
[2020-11-27 17:30] EPOCH 0 Train Step 2499/40000, Batch Size = 64,                         Examples/Sec = 5639.16, Accuracy = 0.63, Loss = 1.185
[2020-11-27 17:30] EPOCH 0 Train Step 2599/40000, Batch Size = 64,                         Examples/Sec = 5813.69, Accuracy = 0.59, Loss = 1.312
