Namespace(batch_size=256, dataset='bipalindrome', device='cuda:0', gpu_mem_frac=0.5, input_dim=1, input_length=20, learning_rate=0.0001, log_device_placement=False, max_norm=10.0, model_type='LSTM', num_classes=1, num_hidden=256, summary_path='./summaries/', train_steps=3000)
cuda:0
Load binary palindrome dataset ...
input length: 20
input length: 81
Initializing LSTM model ...
seq length: 81
input dim: 1
hidden dim: 256
num classes: 2
batch_size: 256
device: cuda:0


W_gx True
W_gh True
b_g True
W_ix True
W_ih True
b_i True
W_fx True
W_fh True
b_f True
W_ox True
W_oh True
b_o True
W_ph True
b_p True
embedding.weight True
[2020-11-20 15:43] Train Step 0000/3000, Batch Size = 256,                    Examples/Sec = 329.92, Accuracy = 0.46, Loss = 1.568
[2020-11-20 15:43] Train Step 0060/3000, Batch Size = 256,                    Examples/Sec = 1643.50, Accuracy = 0.63, Loss = 0.644
[2020-11-20 15:44] Train Step 0120/3000, Batch Size = 256,                    Examples/Sec = 1326.91, Accuracy = 0.69, Loss = 0.614
[2020-11-20 15:44] Train Step 0180/3000, Batch Size = 256,                    Examples/Sec = 1750.98, Accuracy = 0.60, Loss = 0.647
[2020-11-20 15:44] Train Step 0240/3000, Batch Size = 256,                    Examples/Sec = 1305.67, Accuracy = 0.65, Loss = 0.617
[2020-11-20 15:44] Train Step 0300/3000, Batch Size = 256,                    Examples/Sec = 1350.59, Accuracy = 0.65, Loss = 0.611
[2020-11-20 15:44] Train Step 0360/3000, Batch Size = 256,                    Examples/Sec = 1297.54, Accuracy = 0.67, Loss = 0.621
[2020-11-20 15:44] Train Step 0420/3000, Batch Size = 256,                    Examples/Sec = 1587.35, Accuracy = 0.67, Loss = 0.596
[2020-11-20 15:45] Train Step 0480/3000, Batch Size = 256,                    Examples/Sec = 1232.30, Accuracy = 0.67, Loss = 0.642
[2020-11-20 15:45] Train Step 0540/3000, Batch Size = 256,                    Examples/Sec = 1470.22, Accuracy = 0.67, Loss = 0.614
[2020-11-20 15:45] Train Step 0600/3000, Batch Size = 256,                    Examples/Sec = 1232.08, Accuracy = 0.67, Loss = 0.622
[2020-11-20 15:45] Train Step 0660/3000, Batch Size = 256,                    Examples/Sec = 1659.05, Accuracy = 0.71, Loss = 0.586
[2020-11-20 15:45] Train Step 0720/3000, Batch Size = 256,                    Examples/Sec = 1544.10, Accuracy = 0.69, Loss = 0.586
[2020-11-20 15:46] Train Step 0780/3000, Batch Size = 256,                    Examples/Sec = 1584.10, Accuracy = 0.68, Loss = 0.624
[2020-11-20 15:46] Train Step 0840/3000, Batch Size = 256,                    Examples/Sec = 1664.48, Accuracy = 0.70, Loss = 0.582
[2020-11-20 15:46] Train Step 0900/3000, Batch Size = 256,                    Examples/Sec = 1377.96, Accuracy = 0.64, Loss = 0.638
[2020-11-20 15:46] Train Step 0960/3000, Batch Size = 256,                    Examples/Sec = 1383.64, Accuracy = 0.68, Loss = 0.610
[2020-11-20 15:46] Train Step 1020/3000, Batch Size = 256,                    Examples/Sec = 1621.71, Accuracy = 0.66, Loss = 0.623
[2020-11-20 15:46] Train Step 1080/3000, Batch Size = 256,                    Examples/Sec = 1435.83, Accuracy = 0.62, Loss = 0.642
[2020-11-20 15:47] Train Step 1140/3000, Batch Size = 256,                    Examples/Sec = 1673.80, Accuracy = 0.62, Loss = 0.637
[2020-11-20 15:47] Train Step 1200/3000, Batch Size = 256,                    Examples/Sec = 1567.39, Accuracy = 0.88, Loss = 0.403
[2020-11-20 15:47] Train Step 1260/3000, Batch Size = 256,                    Examples/Sec = 1565.05, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:47] Train Step 1320/3000, Batch Size = 256,                    Examples/Sec = 1271.34, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:47] Train Step 1380/3000, Batch Size = 256,                    Examples/Sec = 1602.79, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:48] Train Step 1440/3000, Batch Size = 256,                    Examples/Sec = 1345.29, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:48] Train Step 1500/3000, Batch Size = 256,                    Examples/Sec = 1646.33, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:48] Train Step 1560/3000, Batch Size = 256,                    Examples/Sec = 1591.97, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:48] Train Step 1620/3000, Batch Size = 256,                    Examples/Sec = 1341.70, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:48] Train Step 1680/3000, Batch Size = 256,                    Examples/Sec = 1704.04, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:48] Train Step 1740/3000, Batch Size = 256,                    Examples/Sec = 1299.34, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:49] Train Step 1800/3000, Batch Size = 256,                    Examples/Sec = 1599.55, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:49] Train Step 1860/3000, Batch Size = 256,                    Examples/Sec = 1728.79, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:49] Train Step 1920/3000, Batch Size = 256,                    Examples/Sec = 1419.53, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:49] Train Step 1980/3000, Batch Size = 256,                    Examples/Sec = 1566.49, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:49] Train Step 2040/3000, Batch Size = 256,                    Examples/Sec = 1740.36, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:49] Train Step 2100/3000, Batch Size = 256,                    Examples/Sec = 1674.40, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:50] Train Step 2160/3000, Batch Size = 256,                    Examples/Sec = 1702.36, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:50] Train Step 2220/3000, Batch Size = 256,                    Examples/Sec = 1313.88, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:50] Train Step 2280/3000, Batch Size = 256,                    Examples/Sec = 1313.56, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:50] Train Step 2340/3000, Batch Size = 256,                    Examples/Sec = 1642.15, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:50] Train Step 2400/3000, Batch Size = 256,                    Examples/Sec = 1743.48, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:51] Train Step 2460/3000, Batch Size = 256,                    Examples/Sec = 1286.96, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:51] Train Step 2520/3000, Batch Size = 256,                    Examples/Sec = 1309.65, Accuracy = 1.00, Loss = 0.000
