Namespace(batch_size=256, dataset='bipalindrome', device='cuda:0', gpu_mem_frac=0.5, input_dim=1, input_length=10, learning_rate=0.0001, log_device_placement=False, max_norm=10.0, model_type='LSTM', num_classes=1, num_hidden=256, summary_path='./summaries/', train_steps=3000)
cuda:0
Load binary palindrome dataset ...
input length: 10
input length: 41
Initializing LSTM model ...
seq length: 41
input dim: 1
hidden dim: 256
num classes: 2
batch_size: 256
device: cuda:0


[2020-11-20 00:59] Train Step 0000/3000, Batch Size = 256,                    Examples/Sec = 426.99, Accuracy = 0.69, Loss = 0.691
[2020-11-20 00:59] Train Step 0060/3000, Batch Size = 256,                    Examples/Sec = 2330.74, Accuracy = 0.70, Loss = 0.615
[2020-11-20 00:59] Train Step 0120/3000, Batch Size = 256,                    Examples/Sec = 2325.53, Accuracy = 0.65, Loss = 0.645
[2020-11-20 00:59] Train Step 0180/3000, Batch Size = 256,                    Examples/Sec = 2310.50, Accuracy = 0.67, Loss = 0.631
[2020-11-20 00:59] Train Step 0240/3000, Batch Size = 256,                    Examples/Sec = 2294.46, Accuracy = 0.68, Loss = 0.626
[2020-11-20 00:59] Train Step 0300/3000, Batch Size = 256,                    Examples/Sec = 2304.91, Accuracy = 0.59, Loss = 0.682
[2020-11-20 00:59] Train Step 0360/3000, Batch Size = 256,                    Examples/Sec = 2295.43, Accuracy = 0.66, Loss = 0.637
[2020-11-20 00:59] Train Step 0420/3000, Batch Size = 256,                    Examples/Sec = 2955.48, Accuracy = 0.61, Loss = 0.633
[2020-11-20 01:00] Train Step 0480/3000, Batch Size = 256,                    Examples/Sec = 2205.49, Accuracy = 0.65, Loss = 0.607
[2020-11-20 01:00] Train Step 0540/3000, Batch Size = 256,                    Examples/Sec = 2321.77, Accuracy = 0.66, Loss = 0.620
[2020-11-20 01:00] Train Step 0600/3000, Batch Size = 256,                    Examples/Sec = 2348.23, Accuracy = 0.66, Loss = 0.604
[2020-11-20 01:00] Train Step 0660/3000, Batch Size = 256,                    Examples/Sec = 2227.21, Accuracy = 0.71, Loss = 0.595
[2020-11-20 01:00] Train Step 0720/3000, Batch Size = 256,                    Examples/Sec = 2210.90, Accuracy = 0.63, Loss = 0.621
[2020-11-20 01:00] Train Step 0780/3000, Batch Size = 256,                    Examples/Sec = 2871.70, Accuracy = 0.70, Loss = 0.591
[2020-11-20 01:00] Train Step 0840/3000, Batch Size = 256,                    Examples/Sec = 2297.86, Accuracy = 0.66, Loss = 0.609
[2020-11-20 01:00] Train Step 0900/3000, Batch Size = 256,                    Examples/Sec = 2196.42, Accuracy = 0.68, Loss = 0.596
[2020-11-20 01:00] Train Step 0960/3000, Batch Size = 256,                    Examples/Sec = 2223.04, Accuracy = 0.66, Loss = 0.639
[2020-11-20 01:00] Train Step 1020/3000, Batch Size = 256,                    Examples/Sec = 2365.35, Accuracy = 0.70, Loss = 0.590
[2020-11-20 01:01] Train Step 1080/3000, Batch Size = 256,                    Examples/Sec = 2177.22, Accuracy = 0.70, Loss = 0.595
[2020-11-20 01:01] Train Step 1140/3000, Batch Size = 256,                    Examples/Sec = 3000.72, Accuracy = 0.72, Loss = 0.591
[2020-11-20 01:01] Train Step 1200/3000, Batch Size = 256,                    Examples/Sec = 2244.42, Accuracy = 0.66, Loss = 0.612
[2020-11-20 01:01] Train Step 1260/3000, Batch Size = 256,                    Examples/Sec = 3025.69, Accuracy = 0.64, Loss = 0.613
[2020-11-20 01:01] Train Step 1320/3000, Batch Size = 256,                    Examples/Sec = 2940.88, Accuracy = 0.65, Loss = 0.616
[2020-11-20 01:01] Train Step 1380/3000, Batch Size = 256,                    Examples/Sec = 2271.96, Accuracy = 0.64, Loss = 0.653
[2020-11-20 01:01] Train Step 1440/3000, Batch Size = 256,                    Examples/Sec = 2127.91, Accuracy = 0.67, Loss = 0.598
[2020-11-20 01:01] Train Step 1500/3000, Batch Size = 256,                    Examples/Sec = 2333.98, Accuracy = 0.60, Loss = 0.659
[2020-11-20 01:01] Train Step 1560/3000, Batch Size = 256,                    Examples/Sec = 2325.52, Accuracy = 0.66, Loss = 0.669
