Namespace(batch_size=256, dataset='bipalindrome', device='cuda:0', gpu_mem_frac=0.5, input_dim=1, input_length=10, learning_rate=0.0001, log_device_placement=False, max_norm=10.0, model_type='LSTM', num_classes=1, num_hidden=256, summary_path='./summaries/', train_steps=3000)
cuda:0
Load binary palindrome dataset ...
input length: 10
input length: 41
Initializing LSTM model ...
seq length: 41
input dim: 1
hidden dim: 256
num classes: 2
batch_size: 256
device: cuda:0


[2020-11-20 01:19] Train Step 0000/3000, Batch Size = 256,                    Examples/Sec = 514.13, Accuracy = 0.45, Loss = 0.696
[2020-11-20 01:19] Train Step 0060/3000, Batch Size = 256,                    Examples/Sec = 2331.28, Accuracy = 0.70, Loss = 0.615
[2020-11-20 01:19] Train Step 0120/3000, Batch Size = 256,                    Examples/Sec = 2441.19, Accuracy = 0.68, Loss = 0.625
[2020-11-20 01:19] Train Step 0180/3000, Batch Size = 256,                    Examples/Sec = 2956.18, Accuracy = 0.67, Loss = 0.622
[2020-11-20 01:19] Train Step 0240/3000, Batch Size = 256,                    Examples/Sec = 2153.43, Accuracy = 0.73, Loss = 0.577
[2020-11-20 01:19] Train Step 0300/3000, Batch Size = 256,                    Examples/Sec = 2192.29, Accuracy = 0.62, Loss = 0.657
[2020-11-20 01:19] Train Step 0360/3000, Batch Size = 256,                    Examples/Sec = 2379.24, Accuracy = 0.66, Loss = 0.606
[2020-11-20 01:20] Train Step 0420/3000, Batch Size = 256,                    Examples/Sec = 2227.12, Accuracy = 0.63, Loss = 0.636
[2020-11-20 01:20] Train Step 0480/3000, Batch Size = 256,                    Examples/Sec = 2983.81, Accuracy = 0.70, Loss = 0.591
[2020-11-20 01:20] Train Step 0540/3000, Batch Size = 256,                    Examples/Sec = 3027.68, Accuracy = 0.66, Loss = 0.613
[2020-11-20 01:20] Train Step 0600/3000, Batch Size = 256,                    Examples/Sec = 3184.07, Accuracy = 0.67, Loss = 0.608
[2020-11-20 01:20] Train Step 0660/3000, Batch Size = 256,                    Examples/Sec = 2335.07, Accuracy = 0.69, Loss = 0.597
[2020-11-20 01:20] Train Step 0720/3000, Batch Size = 256,                    Examples/Sec = 2198.05, Accuracy = 0.70, Loss = 0.588
[2020-11-20 01:20] Train Step 0780/3000, Batch Size = 256,                    Examples/Sec = 3137.31, Accuracy = 0.69, Loss = 0.589
[2020-11-20 01:20] Train Step 0840/3000, Batch Size = 256,                    Examples/Sec = 2325.81, Accuracy = 0.68, Loss = 0.575
[2020-11-20 01:20] Train Step 0900/3000, Batch Size = 256,                    Examples/Sec = 2335.44, Accuracy = 0.69, Loss = 0.591
[2020-11-20 01:20] Train Step 0960/3000, Batch Size = 256,                    Examples/Sec = 2331.94, Accuracy = 0.67, Loss = 0.625
[2020-11-20 01:21] Train Step 1020/3000, Batch Size = 256,                    Examples/Sec = 2358.20, Accuracy = 0.68, Loss = 0.581
[2020-11-20 01:21] Train Step 1080/3000, Batch Size = 256,                    Examples/Sec = 2281.68, Accuracy = 0.65, Loss = 0.601
[2020-11-20 01:21] Train Step 1140/3000, Batch Size = 256,                    Examples/Sec = 3024.72, Accuracy = 0.64, Loss = 0.613
