Namespace(batch_size=256, dataset='bipalindrome', device='cuda:0', gpu_mem_frac=0.5, input_dim=1, input_length=20, learning_rate=0.0001, log_device_placement=False, max_norm=10.0, model_type='peepLSTM', num_classes=1, num_hidden=256, summary_path='./summaries/', train_steps=3000)
cuda:0
Load binary palindrome dataset ...
input length: 20
input length: 81
Initializing peephole LSTM model ...
seq length: 81
input dim: 1
hidden dim: 256
num classes: 2
batch_size: 256
device: cuda:0


W_fx True
W_fh True
b_f True
W_ix True
W_ih True
b_i True
W_ox True
W_oh True
b_o True
W_cx True
b_c True
W_ph True
b_p True
embedding.weight True
[2020-11-20 15:34] Train Step 0000/3000, Batch Size = 256,                    Examples/Sec = 487.29, Accuracy = 0.62, Loss = 2.040
[2020-11-20 15:34] Train Step 0060/3000, Batch Size = 256,                    Examples/Sec = 1677.83, Accuracy = 0.72, Loss = 0.498
[2020-11-20 15:34] Train Step 0120/3000, Batch Size = 256,                    Examples/Sec = 2219.08, Accuracy = 0.97, Loss = 0.153
[2020-11-20 15:34] Train Step 0180/3000, Batch Size = 256,                    Examples/Sec = 2069.93, Accuracy = 0.98, Loss = 0.074
[2020-11-20 15:34] Train Step 0240/3000, Batch Size = 256,                    Examples/Sec = 2182.85, Accuracy = 0.99, Loss = 0.021
[2020-11-20 15:34] Train Step 0300/3000, Batch Size = 256,                    Examples/Sec = 2167.10, Accuracy = 1.00, Loss = 0.005
[2020-11-20 15:35] Train Step 0360/3000, Batch Size = 256,                    Examples/Sec = 1561.92, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:35] Train Step 0420/3000, Batch Size = 256,                    Examples/Sec = 2291.62, Accuracy = 1.00, Loss = 0.002
[2020-11-20 15:35] Train Step 0480/3000, Batch Size = 256,                    Examples/Sec = 2241.24, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:35] Train Step 0540/3000, Batch Size = 256,                    Examples/Sec = 1616.21, Accuracy = 1.00, Loss = 0.001
[2020-11-20 15:35] Train Step 0600/3000, Batch Size = 256,                    Examples/Sec = 2103.36, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:35] Train Step 0660/3000, Batch Size = 256,                    Examples/Sec = 2089.09, Accuracy = 1.00, Loss = 0.001
[2020-11-20 15:35] Train Step 0720/3000, Batch Size = 256,                    Examples/Sec = 2064.06, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:35] Train Step 0780/3000, Batch Size = 256,                    Examples/Sec = 1610.39, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:36] Train Step 0840/3000, Batch Size = 256,                    Examples/Sec = 2028.98, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:36] Train Step 0900/3000, Batch Size = 256,                    Examples/Sec = 2131.97, Accuracy = 1.00, Loss = 0.010
[2020-11-20 15:36] Train Step 0960/3000, Batch Size = 256,                    Examples/Sec = 2202.03, Accuracy = 1.00, Loss = 0.001
[2020-11-20 15:36] Train Step 1020/3000, Batch Size = 256,                    Examples/Sec = 2245.65, Accuracy = 1.00, Loss = 0.004
[2020-11-20 15:36] Train Step 1080/3000, Batch Size = 256,                    Examples/Sec = 2326.10, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:36] Train Step 1140/3000, Batch Size = 256,                    Examples/Sec = 2067.35, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:36] Train Step 1200/3000, Batch Size = 256,                    Examples/Sec = 2074.85, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:37] Train Step 1260/3000, Batch Size = 256,                    Examples/Sec = 2226.00, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:37] Train Step 1320/3000, Batch Size = 256,                    Examples/Sec = 2119.79, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:37] Train Step 1380/3000, Batch Size = 256,                    Examples/Sec = 2113.72, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:37] Train Step 1440/3000, Batch Size = 256,                    Examples/Sec = 2129.06, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:37] Train Step 1500/3000, Batch Size = 256,                    Examples/Sec = 2092.14, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:37] Train Step 1560/3000, Batch Size = 256,                    Examples/Sec = 1610.74, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:37] Train Step 1620/3000, Batch Size = 256,                    Examples/Sec = 1594.55, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:37] Train Step 1680/3000, Batch Size = 256,                    Examples/Sec = 1633.02, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:38] Train Step 1740/3000, Batch Size = 256,                    Examples/Sec = 2070.91, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:38] Train Step 1800/3000, Batch Size = 256,                    Examples/Sec = 2084.16, Accuracy = 1.00, Loss = 0.000
